plate	sample	orf1_ct
3	52c3500d275d8f7f	15.137908
3	425200b4b9462c12	19.392752
3	6894daaf8fbbacba	33.92375
3	42e142f0b54e657a	29.917633
3	44187d63465ef40c	
3	7b14592ba87cd5d7	28.618174
3	2e40271d68326e01	21.68048
3	adee945dbb55a0c0	19.767714
3	bc13c8bf6f0f8a90	18.591665
3	c2142a544f2c2ae5	0.0
3	2e4cf85df16a15c4	17.404196
3	0025ccc2239d64a3	11.72058
3	9cdfeec893a70a7f	25.532772
3	11179271d3a3a0f6	24.803272
3	b2c84f139580b295	16.831472
3	00f1262157d6dadd	0.0
3	d302d0c987a78c55	29.78569
3	587e4b0d7e300b6d	24.705671
3	dd9ce5af6913aa5d	15.759752
3	b1da6318c02e644d	13.949104
3	121c84f23317a1d0	8.835643
3	813020339459bf7f	25.84256
3	31d35d64403441a6	24.364445
3	612c2a00352c659d	29.630732
3	57d9fd2c5f55506f	0.0
3	41697a6ec86c8645	27.370705
3	a9e238f12c86cc3e	26.706871
3	b8b546308ea136c7	28.719309
3	b2c520e919f3053a	30.932783
3	86b539105468ff07	19.86078
3	3794083405526170	28.786995
3	b6c2689d4e3d001d	26.235903
3	a395b44ab97f0814	13.660315
3	9e6a5d4d1f1691e7	12.68895
3	b63a3fdf9659b1f0	19.540058
3	a9156ddeae514774	10.912386
3	fd9f1db8ea56e786	0.0
3	a3ed88887dfd4b67	21.624685
3	71a8a1134931deb2	22.679579
3	WHO	0.0
3	47c5c8eb2bed0a20	24.59843
3	c54747234cb8fb8c	18.802631
3	10a50df27ee59357	17.24148
3	79ed29f704a7dbb7	27.478964
3	b98e287baa7b119d	29.894632
3	786a7098f8cf7d80	15.439486
3	1ef2ba1dbb64a7f7	30.820848
3	c8eb1ffc5638cf0a	16.4395
3	5561b36fe2e601d4	0.0
3	360855a4cb989020	24.845741
3	1bee8224d663e34a	27.174868
3	NEG	0.0
3	3aeacdc4fc20f21b	30.144453
3	e040402c14a7f992	19.846706
3	399e90c4ee4faef4	29.130064
3	772ce33420e5fee7	21.154438
3	4b5077a14fec1617	31.827724
3	4374568cf3255179	23.414442
3	c296ae479cf424c7	0.0
3	fa367e36f735d083	21.566412
3	12fbfbd60a5ebc83	0.0
3	3b071da4ac08cf42	20.191534
3	24c8cb34cd49619b	17.219566
3	PC	28.789011
3	1447d24fbabd00cc	12.843424
3	e0f2e5111bc0b4fd	17.424723
3	de5c2d1e2c4ef297	28.054823
3	b965d5b91b0c9ac0	0.0
3	116b30bdbbbdff5b	12.988092
3	9d51c3cc0f0cb0be	0.0
3	03dd26f4d0bb89ad	29.889965
3	bff205e8ef844046	25.905313
3	4e214ad7e8b19f8d	16.227867
3	e943be301aba31b4	26.455662
3	22eeafc425ce29fb	0.0
3	PC2	26.606491
4	8a521f6f326937da	25.0
4	393cbb07b1663dc0	14.0
4	bba172ce7f083069	17.0
4	7ef8f87a7cd602f4	36.0
4	2ba34320e6a904c3	27.0
4	0cfb753561f2dca3	17.0
4	2609f287065e6221	19.0
4	e5006092451e9e99	0.0
4	72cbeb4f37a16375	0.0
4	182f63d231a3a1bf	18.0
4	ecd348488356db1e	14.0
4	cdc9e9479983953f	21.0
4	f1c075c8bc61e36b	13.0
4	a4734ca896248b17	28.0
4	4b7c77df2ea779a7	17.0
4	2fc51ca98a5ac03d	15.0
4	ca0822ad84962515	18.0
4	92b79c4cd36b026b	30.0
4	3a2fd017b7137653	16.0
4	396cb14054d9c0f3	24.0
4	b6b69d6bdf2f74bb	16.0
4	37d8057ed69a83e3	0.0
4	a48539abdd0b42f1	18.0
4	f5da5a14105d415b	21.0
4	4ee340f4fa68c616	0.0
4	009a3aaa7a0a56ad	34.0
4	1f580fa0ae82d42a	26.0
4	15cbf61c81896884	12.0
4	6119f06bede8b8be	36.0
4	3c6259c0ffba4f04	16.0
4	dc970558f1300f32	20.0
4	ee3417c03a337034	18.0
4	773db6a4564d5d7b	14.0
4	d3debc0f30b75f50	0.0
4	01aec1670f3364b6	0.0
4	f6247b94e6dbbaee	29.0
4	f76a17c6ceb299ee	14.0
4	51ff9752d75817b6	14.0
4	666b780c76d463e7	20.0
4	e610375eb91980c3	34.0
4	846b7fcd57b5a6e2	11.0
4	b10bfaca6f60cbe8	18.0
4	33ed61f32b15ab2b	17.0
4	e0c044286c6bcef1	19.0
4	bdda876a735fd280	13.0
4	fcd834af2f53c140	0.0
4	187e537ef843139a	21.0
4	204f88d9ba2e3fe7	19.0
4	b86299406728ffc1	16.0
4	66e85807a4680923	29.0
4	cc60fcba20cea963	15.0
4	4919994dd63a6db7	33.0
4	fb080e620e8c1194	15.0
4	2a509be37d45cc2b	18.0
4	c31a88b38d640ffd	15.0
4	398e6c0a5557e76d	23.0
4	b5b2b08d6bee4b9c	32.0
4	1f787f7b224c64ca	21.0
4	10263e540345bfbb	15.0
4	1357aeecade5f126	17.0
4	10d35ed880c92611	12.0
4	cf995fc2dde26525	24.0
4	c778a84861b2d480	23.0
4	435535483d1f66d3	12.0
4	d35dd617fb106118	27.0
4	8c44c0f7b613a12c	19.0
4	c24ae02a862f3dc4	14.0
4	a236e59f60a3d460	26.0
4	9fbc7191a57ffc55	13.0
4	af55853acb42221e	21.0
4	5c5d17966a64ade5	17.0
4	1ec4cd60faff94b4	18.0
4	70e7ebef94f4a207	22.0
4	4bf82aa2e826ef91	22.0
4	9c2e29e0127005b5	16.0
4	10ffd039117f5de7	13.0
4	abe81334ef368de3	12.0
4	330c72cbf477025a	24.0
