run	barcode	sample
COVID_SEQ3_ARCTIC1_281021	73	a9248226c621e63f
COVID_SEQ3_ARCTIC1_281021	74	b0efb88ff79bfe39
COVID_SEQ3_ARCTIC1_281021	75	a3886743869e1324
COVID_SEQ3_ARCTIC1_281021	76	5b95b2621e185ccb
COVID_SEQ3_ARCTIC1_281021	77	cd7ec355a02b2d6d
COVID_SEQ3_ARCTIC1_281021	78	83ed5ea5d1c513b2
COVID_SEQ3_ARCTIC1_281021	85	aabb02aaf3572c18
COVID_SEQ3_ARCTIC1_281021	86	858146f1935a2466
COVID_SEQ3_ARCTIC1_281021	87	027789ccf9f6ff57
COVID_SEQ3_ARCTIC1_281021	88	793d753f94a95d06
COVID_SEQ3_ARCTIC1_281021	89	5c4354b2fc502b65
COVID_SEQ3_ARCTIC1_281021	90	859eb00da3327d9c
20211110_SEQ3_ARTICV4_JB_LD	01	7c19a27c938c0d9f
20211110_SEQ3_ARTICV4_JB_LD	02	f532a4530ba51587
20211110_SEQ3_ARTICV4_JB_LD	03	b25d33ef3c77e3fb
20211110_SEQ3_ARTICV4_JB_LD	04	924252cde755ea67
20211110_SEQ3_ARTICV4_JB_LD	05	c03c9eb43f841ff1
20211110_SEQ3_ARTICV4_JB_LD	06	0b9a4dce9564e6aa
20211110_SEQ3_ARTICV4_JB_LD	13	43130ae7a64cacdb
20211110_SEQ3_ARTICV4_JB_LD	14	c24ae02a862f3dc4
20211110_SEQ3_ARTICV4_JB_LD	15	1d71e0439edbab0e
20211110_SEQ3_ARTICV4_JB_LD	16	6703546252c16d16
20211110_SEQ3_ARTICV4_JB_LD	17	562c51f597020902
20211110_SEQ3_ARTICV4_JB_LD	18	96bed5260a50b70c
20211110_SEQ3_ARTICV4_JB_LD	25	1f8c44e88c2980e7
20211110_SEQ3_ARTICV4_JB_LD	26	abe81334ef368de3
20211110_SEQ3_ARTICV4_JB_LD	27	b638bfc0e371bec3
20211110_SEQ3_ARTICV4_JB_LD	28	d302d0c987a78c55
20211110_SEQ3_ARTICV4_JB_LD	29	773df88e2e8c8412
20211110_SEQ3_ARTICV4_JB_LD	30	WHO
20211110_SEQ3_ARTICV4_JB_LD	37	15cbf61c81896884
20211110_SEQ3_ARTICV4_JB_LD	38	3ee672594e81f3be
20211110_SEQ3_ARTICV4_JB_LD	39	c32c5c5524a7ca65
20211110_SEQ3_ARTICV4_JB_LD	40	c44610183a58e1db
20211110_SEQ3_ARTICV4_JB_LD	41	18d8076ed9e99f27
20211110_SEQ3_ARTICV4_JB_LD	42	0044e20800b6891b
20211110_SEQ3_ARTICV4_JB_LD	49	cea7364d690385d3
20211110_SEQ3_ARTICV4_JB_LD	50	a8df91347afbd508
20211110_SEQ3_ARTICV4_JB_LD	51	ab48bebae950e182
20211110_SEQ3_ARTICV4_JB_LD	52	df2a6532c0f9ea37
20211110_SEQ3_ARTICV4_JB_LD	53	fe98a2978b3d59df
20211110_SEQ3_ARTICV4_JB_LD	54	NEG1
20211110_SEQ3_ARTICV4_JB_LD	61	eb80f279998065d0
20211110_SEQ3_ARTICV4_JB_LD	62	3f9af994cae50e8e
20211110_SEQ3_ARTICV4_JB_LD	63	43007c7ddd97360d
20211110_SEQ3_ARTICV4_JB_LD	64	a5a0d5defefda27f
20211110_SEQ3_ARTICV4_JB_LD	65	2420c0d683726c7a
20211110_SEQ3_ARTICV4_JB_LD	66	NEG2
20211110_SEQ3_ARTICV4_JB_LD	73	a9248226c621e63f
20211110_SEQ3_ARTICV4_JB_LD	74	b0efb88ff79bfe39
20211110_SEQ3_ARTICV4_JB_LD	75	a3886743869e1324
20211110_SEQ3_ARTICV4_JB_LD	76	5b95b2621e185ccb
20211110_SEQ3_ARTICV4_JB_LD	77	cd7ec355a02b2d6d
20211110_SEQ3_ARTICV4_JB_LD	78	83ed5ea5d1c513b2
20211110_SEQ3_ARTICV4_JB_LD	85	aabb02aaf3572c18
